,model,config,parameters,neg_mean_squared_error,neg_root_mean_squared_error,r2,explained_variance
92,DummyRegressor(),dim_30_budget_2000_conf_5,{'strategy': 'mean'},-171727958.38953713,-12981.843928262539,-0.003559080025918293,8.881784197001253e-17
93,RandomForestRegressor(),dim_30_budget_2000_conf_5,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-32333619.572471738,-5531.526042027994,0.8129828099683296,0.8160064872235555
94,DummyRegressor(),dim_30_budget_10000_conf_541,{'strategy': 'mean'},-44238.6054130012,-209.18745640428318,-0.0013040329764382186,2.2204460492503132e-17
95,RandomForestRegressor(),dim_30_budget_10000_conf_541,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-18511.77538253842,-132.86683554015775,0.5922332455660488,0.596172508592223
96,DummyRegressor(),dim_30_budget_2000_conf_540,{'strategy': 'mean'},-43079435.73974818,-6494.992067651261,-0.002773174980929216,-8.881784197001253e-17
97,RandomForestRegressor(),dim_30_budget_2000_conf_540,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-13594753.409645572,-3547.9871601138702,0.6981559410941033,0.7013765633301906
98,DummyRegressor(),dim_30_budget_10000_conf_542,{'strategy': 'mean'},-30723.205843492015,-174.1310974329703,-0.003697725946157071,-4.4408920985006264e-17
99,RandomForestRegressor(),dim_30_budget_10000_conf_542,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-11404.33867825793,-104.5591446404683,0.635676885725195,0.6449728915170307
100,DummyRegressor(),dim_30_budget_2000_conf_541,{'strategy': 'mean'},-78710409.07756801,-8775.355538193613,-0.0053942782855628925,0.0
101,RandomForestRegressor(),dim_30_budget_2000_conf_541,"{'criterion': 'squared_error', 'max_depth': 4, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500, 'random_state': 42}",-15729317.846946087,-3767.891971359303,0.8104133300253675,0.8165774136549822
102,DummyRegressor(),dim_30_budget_10000_conf_543,{'strategy': 'mean'},-40689.33162258492,-198.6787476760728,-0.013031122907437354,-2.2204460492503132e-17
103,RandomForestRegressor(),dim_30_budget_10000_conf_543,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500, 'random_state': 42}",-18395.20706990907,-132.15475464233964,0.5510891891718062,0.5790469253237538
104,DummyRegressor(),dim_30_budget_2000_conf_542,{'strategy': 'mean'},-48869024.587854706,-6794.837679203911,-0.006747568484272826,0.0
105,RandomForestRegressor(),dim_30_budget_2000_conf_542,"{'criterion': 'squared_error', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-17832052.326370835,-4011.472682660499,0.6271826146590093,0.6328880860172428
106,DummyRegressor(),dim_30_budget_10000_conf_544,{'strategy': 'mean'},-37415.55476793131,-189.65632739164843,-0.010092438294159133,-4.4408920985006264e-17
107,RandomForestRegressor(),dim_30_budget_10000_conf_544,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-17768.813746258864,-127.65363049385812,0.5532464342341019,0.5674042580186324
108,DummyRegressor(),dim_30_budget_2000_conf_543,{'strategy': 'mean'},-69054793.14463775,-8268.226288771037,-0.0026247243453048517,4.4408920985006264e-17
109,RandomForestRegressor(),dim_30_budget_2000_conf_543,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'random_state': 42}",-13354393.59061211,-3385.5325137476016,0.8211478738606866,0.8263800538959067
110,DummyRegressor(),dim_30_budget_10000_conf_6,{'strategy': 'mean'},-37427.21923562891,-192.66230446660364,-0.0016376011040112992,0.0
111,RandomForestRegressor(),dim_30_budget_10000_conf_6,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-14588.177079499885,-118.0151133452384,0.6250605636557673,0.6299841872227094
112,DummyRegressor(),dim_30_budget_2000_conf_544,{'strategy': 'mean'},-49124351.6480139,-6894.6782804382165,-0.003974361363881007,0.0
113,RandomForestRegressor(),dim_30_budget_2000_conf_544,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-16352214.409017865,-3761.013984562105,0.702361779300865,0.7070473756321947
114,DummyRegressor(),dim_30_budget_10000_conf_7,{'strategy': 'mean'},-66917.55788267047,-254.4732932873074,-0.005368110953894822,4.4408920985006264e-17
115,RandomForestRegressor(),dim_30_budget_10000_conf_7,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 42}",-31476.160913665117,-168.8578941361035,0.5609388440997944,0.5705415854543532
116,DummyRegressor(),dim_30_budget_2000_conf_6,{'strategy': 'mean'},-52144198.182915196,-7171.49225441642,-0.001451731384591426,0.0
117,RandomForestRegressor(),dim_30_budget_2000_conf_6,"{'criterion': 'squared_error', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}",-15778659.218136007,-3842.3824842606896,0.6987084101390011,0.7003618717361351
118,DummyRegressor(),dim_30_budget_10000_conf_8,{'strategy': 'mean'},-33734.20593138406,-181.73827910931385,-0.004408721023204043,4.4408920985006264e-17
