"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","algid"
"170",30,24,1,50000,353.511738,149.323367,209.105169,269.041496,374.086055,194.744541,178.09206,353.132847,158.972213,302.972605,"conf_6"
"171",30,3,1,500,317.289329,339.308332,315.843844,333.694682,361.836774,282.32103,338.225593,338.684775,298.360155,374.824293,"conf_6"
"172",30,3,1,2000,93.317574,102.223311,106.087764,108.849903,134.796346,282.32103,120.206066,116.91906,86.278656,126.387021,"conf_6"
"173",30,3,1,5000,92.531323,97.510187,104.470416,106.462833,130.351883,282.32103,115.417411,116.410235,84.571373,123.374392,"conf_6"
"174",30,3,1,10000,92.530991,97.505685,104.470408,106.460143,130.339065,112.825962,115.414882,116.409556,84.571353,123.374382,"conf_6"
"175",30,3,1,50000,92.530991,97.505685,104.470408,106.460143,130.339065,83.576415,115.414882,116.409556,84.571353,123.374382,"conf_6"
"176",5,3,1,500,31.220459,36.813408,22.883995,13.931006,30.041169,20.894128,9.950112,25.868866,27.863056,6.965918,"conf_6"
"177",5,3,1,2000,29.706403,36.813364,22.883993,13.929391,27.963848,20.89408,9.94956,25.868865,27.858763,6.964708,"conf_6"
"178",5,3,1,5000,15.927517,36.813364,22.883993,13.929391,10.788116,20.89408,9.94956,25.868865,27.858763,6.964708,"conf_6"
"179",5,3,1,10000,15.91931,36.813364,22.883993,13.929391,10.788116,20.89408,9.94956,25.868865,27.858763,6.964708,"conf_6"
"180",5,3,1,50000,15.91931,36.813364,22.883993,13.929391,2.984877,20.89408,9.94956,25.868865,27.858763,6.964708,"conf_6"
"181",5,4,1,500,22.061353,17.909784,22.090665,21.88916,41.788328,19.899145,26.863879,12.935071,30.843621,36.81336,"conf_6"
"182",5,4,1,2000,21.889054,17.909223,10.944541,21.889054,41.787987,19.899121,26.863824,12.934453,30.843594,36.813339,"conf_6"
"183",5,4,1,5000,21.889054,17.909223,10.94454,21.889054,41.787987,19.899121,26.863824,12.934453,30.843594,36.813339,"conf_6"
"184",5,4,1,10000,21.889054,17.909223,10.94454,21.889054,41.787987,19.899121,26.863824,12.934453,30.843594,36.813339,"conf_6"
"185",5,4,1,50000,21.889054,17.909223,10.94454,21.889054,25.868865,19.899121,26.863824,12.934453,30.843594,36.813339,"conf_6"
"186",30,4,1,500,429.350878,383.938744,533.236222,380.241995,361.194865,380.017745,348.744243,365.423165,509.21384,353.303735,"conf_6"
"187",30,4,1,2000,251.356622,189.218923,331.825125,146.283818,128.192815,171.825536,134.940911,161.495008,322.08726,148.383272,"conf_6"
"188",30,4,1,5000,248.738423,188.045743,331.318345,143.273342,119.394844,170.136993,129.344248,158.201624,320.376012,147.2532,"conf_6"
"189",30,4,1,10000,248.738357,188.045718,331.315865,143.273279,119.394693,170.136991,129.344187,158.197782,320.3731,147.253186,"conf_6"
"190",30,4,1,50000,248.738357,188.045718,331.315865,143.273279,119.394693,170.136991,129.344187,158.197782,320.3731,147.253186,"conf_6"
"191",5,5,1,500,2.363837,0.262498,8.967476,15.202745,3.13203,12.70524,0.689298,6.905629,24.806358,13.981354,"conf_6"
"192",5,5,1,2000,2.21254,0.012231,2.135358,6.889297,0.615677,4.009208,0.508309,4.590401,13.015662,10.647566,"conf_6"
"193",5,5,1,5000,2.212516,0.001964,1.582815,2.74258,0.003002,3.816229,0.508247,4.580348,13.015332,2.606706,"conf_6"
"194",5,5,1,10000,2.21239,0.001657,1.573934,1.62928,0.002914,3.794075,0.508235,4.548171,0.820477,1.95273,"conf_6"
"195",5,5,1,50000,0,0,0.001622,0.002402,1e-06,0.006713,0.508233,0.000636,6e-06,0.001429,"conf_6"
"196",30,5,1,500,234.246635,235.788926,215.658635,253.783787,231.254884,242.198391,239.906259,223.813278,188.277913,209.732482,"conf_6"
"197",30,5,1,2000,116.9584,121.345258,95.075781,150.591319,116.172332,101.9495,152.670813,123.389172,126.392531,84.745416,"conf_6"
"198",30,5,1,5000,95.042998,108.76084,87.888802,147.240427,107.846294,96.985251,117.45754,118.518185,115.561652,82.980193,"conf_6"
"199",30,5,1,10000,94.002832,75.221569,78.377097,130.551995,107.048452,96.290554,107.759116,117.243979,112.421226,82.449479,"conf_6"
"200",30,5,1,50000,93.409119,73.699427,77.621675,130.138898,105.806502,95.007378,107.66068,89.537874,111.179026,81.243503,"conf_6"
"201",5,6,1,500,0.01066,0.003963,0.001166,0.080096,0.006356,0.020166,0.009261,0.014008,0.014233,0.024195,"conf_6"
"202",5,6,1,2000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"203",5,6,1,5000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"204",5,6,1,10000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"205",5,6,1,50000,0,0,0,0,0,0,0,0,0,0,"conf_6"
"206",30,6,1,500,5720.370636,4829.668534,3719.595593,10918.002734,1956.597993,1226.046201,6959.756052,9532.41936,5307.969618,2046.190265,"conf_6"
"207",30,6,1,2000,40.583385,27.589232,34.619875,8.07016,18.438021,39.718135,14.324651,33.442157,21.576367,11.423161,"conf_6"
"208",30,6,1,5000,2.984729,1.372128,1.386706,0.352683,0.428026,0.287459,0.207203,1.62544,0.586351,0.151862,"conf_6"
"209",30,6,1,10000,0.330911,0.039257,0.02882,0.009446,0.054904,0.002492,0.001298,0.055781,0.018228,0.005619,"conf_6"
"210",30,6,1,50000,6.9e-05,0.000173,1.4e-05,0.000204,8.6e-05,1.1e-05,9e-06,3.2e-05,4e-06,6.2e-05,"conf_6"
"211",5,7,1,500,1.833652,0.729934,1.38622,1.833652,4.65766,2.919737,1.833652,1.833652,1.012171,1.833652,"conf_6"
"212",5,7,1,2000,1.833652,0.729934,1.38622,1.833652,4.65766,2.919737,1.833652,1.833652,1.012171,1.833652,"conf_6"
"213",5,7,1,5000,1.833652,0.729934,1.38622,1.833652,4.65766,2.919737,1.833652,1.833652,1.012171,1.833652,"conf_6"
"214",5,7,1,10000,1.833652,0.729934,1.38622,1.833652,4.65766,2.919737,1.833652,1.833652,1.012171,1.833652,"conf_6"
