"","DIM","funcId","ID","runtime","run.1","run.2","run.3","run.4","run.5","run.6","run.7","run.8","run.9","run.10","run.11","run.12","run.13","run.14","run.15","run.16","run.17","run.18","run.19","run.20","algid"
"95",5,18,1,50000,0.286554,0.085874,0.010546,2.103748,0.051191,0.749626,0.094442,0.104029,0.10144,0.920341,0.005626,0.002742,0.011009,0.000816,0.023863,0.003957,0.053411,0.006414,0.00089,0.000674,"conf_10"
"96",30,18,1,500,31.361395,34.404867,32.948135,43.745047,36.071609,20.088831,33.333618,31.930903,34.369109,24.964966,19.327508,16.250556,13.341916,18.763662,14.037814,15.392945,16.30903,13.195116,16.626482,21.095131,"conf_10"
"97",30,18,1,2000,30.901296,22.198413,21.216099,43.745047,24.32222,12.621606,21.959238,19.543889,34.369109,16.272222,1.740459,1.360808,0.443544,3.913297,1.020135,1.468178,0.874195,0.582558,0.991845,1.131113,"conf_10"
"98",30,18,1,5000,18.245403,21.298308,20.390917,27.17239,22.87512,10.642507,20.290181,19.039983,18.86151,15.654469,0.765675,0.547112,0.165741,3.144064,0.309868,0.500673,0.345281,0.106122,0.504192,0.565069,"conf_10"
"99",30,18,1,10000,17.092921,21.232553,20.004538,25.547305,22.325642,10.545421,20.208691,18.919238,18.440497,15.351299,0.760299,0.536108,0.16402,3.139781,0.307717,0.494794,0.342632,0.103369,0.500015,0.560457,"conf_10"
"100",30,18,1,50000,16.951852,21.225513,19.97809,25.482832,22.322908,10.539886,20.204096,18.885465,18.369067,15.278304,0.760298,0.302859,0.16402,3.139781,0.307717,0.494794,0.173802,0.103368,0.23762,0.560457,"conf_10"
"101",5,19,1,500,0.43283,0.088924,0.540674,0.661923,1.3387,0.53861,0.718151,0.380971,1.198093,1.460866,0.831162,0.662167,0.568998,2.120928,1.445677,1.062757,0.678807,0.104297,0.68619,1.087678,"conf_10"
"102",5,19,1,2000,0.259474,0.052218,0.540674,0.278816,1.19468,0.53861,0.718151,0.337721,1.198093,1.411675,0.152024,0.062976,0.244981,0.072806,0.239546,0.192422,0.491696,0.063286,0.292533,0.77107,"conf_10"
"103",5,19,1,5000,0.259182,0.044337,0.540674,0.278816,1.19468,0.53861,0.718151,0.337721,0.093098,1.05522,0.152024,0.062875,0.244288,0.035343,0.239546,0.058905,0.388772,0.051895,0.162744,0.502817,"conf_10"
"104",5,19,1,10000,0.259181,0.043333,0.540674,0.278816,1.19468,0.25276,0.289255,0.337721,0.091671,1.05522,0.044335,0.062834,0.243776,0.035343,0.239546,0.058905,0.388772,0.051074,0.162744,0.495432,"conf_10"
"105",5,19,1,50000,0.259181,0.043198,0.270962,0.278816,0.606515,0.25276,0.289255,0.267023,0.091671,0.275933,0.043198,0.062832,0.082466,0.035343,0.051051,0.031416,0.048155,0.051052,0.094337,0.035343,"conf_10"
"106",30,19,1,500,5.691843,6.699115,6.699015,6.108783,6.663013,6.477278,6.386306,5.669013,5.861274,5.829821,6.003407,6.444288,5.630668,5.999976,6.573097,7.164557,6.388739,5.751355,7.053584,5.616524,"conf_10"
"107",30,19,1,2000,5.691843,2.424392,6.217228,6.108783,5.844152,6.477278,6.383402,5.669013,5.861274,5.829821,5.342357,5.454809,4.628485,5.299196,6.168993,6.468027,5.841095,5.230843,5.224683,5.616524,"conf_10"
"108",30,19,1,5000,5.691843,1.623988,5.931439,6.108783,1.548902,6.237585,6.093686,5.669013,5.861274,5.829821,0.48465,0.758316,0.832563,0.752026,1.442144,1.504484,1.412958,0.770475,1.044502,0.79162,"conf_10"
"109",30,19,1,10000,4.940827,1.125279,5.931439,6.108783,0.66423,5.781105,6.093686,5.669013,5.861274,1.170717,0.368926,0.510925,0.672992,0.535182,0.909966,1.345186,1.18787,0.613246,0.928281,0.625511,"conf_10"
"110",30,19,1,50000,4.940827,0.365673,5.25289,5.876613,0.303696,5.11245,5.449548,5.669013,5.124574,0.19785,0.262503,0.441815,0.546747,0.465339,0.674813,1.158387,0.895312,0.488198,0.677526,0.543005,"conf_10"
"111",30,2,1,500,269120.751688,316265.23526,450765.77361,245909.437799,409362.211974,748877.874872,454541.853049,432414.416402,447365.525892,444673.313406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"112",30,2,1,2000,39773.787233,18735.103984,35965.900915,22961.789984,39540.739458,73267.263625,46991.890994,26790.39521,30898.45643,42844.142761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"113",30,2,1,5000,3011.828113,3604.993261,4313.32802,3478.700355,3996.201793,4123.64754,4266.784942,3989.237146,6065.759432,3927.443674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"114",30,2,1,10000,299.075178,540.625299,1014.943186,616.697953,355.005453,194.482039,318.171311,255.335193,332.237182,362.626991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"115",30,2,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"116",5,2,1,500,113.751977,60.32588,8.01495,534.275397,14.039832,13.869231,161.321525,69.083879,14.378854,131.250843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"117",5,2,1,2000,0,0,0,0,0,0,0,3.8e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"118",5,2,1,5000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"119",5,2,1,10000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"120",5,2,1,50000,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"conf_10"
"121",5,20,1,500,2.013565,2.408513,2.36493,1.855604,2.21111,1.618753,1.895073,1.737148,2.092586,2.408694,2.011476,1.776674,2.092506,2.211755,1.540555,1.737142,2.607542,2.763762,2.212289,2.65471,"conf_10"
"122",5,20,1,2000,2.013539,2.037042,1.618706,1.855583,1.939103,1.618728,1.895057,1.737123,2.092548,2.037694,2.011476,1.776663,2.09246,2.210942,1.53972,1.737123,2.606738,2.763681,2.210942,2.65471,"conf_10"
"123",5,20,1,5000,2.013539,1.633213,1.618706,1.855583,1.65818,1.618728,1.895057,1.737123,1.105435,1.065967,1.935511,1.618706,1.105463,1.502143,1.53972,1.53972,2.014075,1.614691,1.917882,1.381869,"conf_10"
"124",5,20,1,10000,2.009468,1.633213,1.618706,1.855583,1.65818,1.618728,1.80223,1.737123,1.105435,1.065967,1.184427,1.618706,1.105435,1.500246,1.53972,1.302838,2.013517,1.342312,1.917882,1.381786,"conf_10"
"125",5,20,1,50000,1.53972,1.144975,1.618706,0.473753,1.065967,1.164903,1.53972,0.947507,1.105435,1.065967,0.908033,0.71063,1.105435,1.105435,1.065967,0.947572,0.947507,0.947507,1.105435,1.105435,"conf_10"
"126",30,20,1,500,3.210694,3.266974,3.360169,3.415911,3.421717,3.215232,3.410576,3.640073,3.846592,3.469159,3.487699,3.466139,3.57869,3.606412,3.56713,3.565802,3.476641,3.537158,3.607484,3.514826,"conf_10"
"127",30,20,1,2000,2.174094,1.972818,1.980901,2.003523,2.495543,2.338168,1.96867,1.942688,1.907826,3.469159,2.376568,2.117577,2.107161,2.358662,2.177856,2.308606,2.297974,1.895883,2.28774,2.35304,"conf_10"
"128",30,20,1,5000,2.171712,1.967874,1.974288,2.000545,2.494024,2.336039,1.960947,1.935129,1.882294,3.469159,2.375571,2.112411,2.086014,2.342819,2.151836,2.303467,2.296482,1.895119,2.276827,2.34275,"conf_10"
"129",30,20,1,10000,2.171712,1.967874,1.974287,2.000545,2.494024,2.336039,1.960947,1.935103,1.882275,2.639072,2.299198,2.112411,2.086014,2.342819,2.151836,1.96381,2.296482,1.895119,2.276827,2.34275,"conf_10"
"130",30,20,1,50000,2.171712,1.967874,1.974287,2.000545,2.494024,2.336039,1.960947,1.935103,1.882275,2.639072,2.230895,2.013648,1.816133,1.888599,2.066377,1.770236,2.020116,1.895119,1.967597,2.013519,"conf_10"
"131",30,21,1,500,8.584372,11.165735,9.833773,12.052727,12.503592,12.567839,7.800884,11.374851,26.668169,10.551157,12.459934,8.593224,8.680011,25.815851,9.487787,11.786202,10.682756,8.710368,28.361262,10.224994,"conf_10"
